MusteriNo;AdSoyad;Yas;Cinsiyet;Sehir;DogumYeri;ToplamHarcama;SiparisSayisi;SonAlimTarihi;Aktif
10124;Volkan Yıldız;59;E;  Kocaeli ;Antalya;14.694,71;43;31.08.2024;0
10452;selin özdemir;61;Erkek;  Kayseri ;İstanbul;20.062,80;47;14/01/2024;hayır
10157;Pınar Kaya;22;E;Bursa;Kayseri;12892.09;49;;1
10017;Fatma Şahin;76;K;Trabzon;Samsun;998,37;39;18.04.2024;hayır
10185;AYLIN TAŞ;38;Erkek;Denizli;Malatya;18315.11;55;24/12/2024;1
10356;BURAK UÇAR;26;n/a;Samsun;Adana;2203.84;18;2025-02-15;0
10212;FATMA KURT; ;Erkek;ANKARA;Antalya;15.577,88;21;09/02/2025;hayır
10465;ALI ARSLAN;9;kadin;Ankara;Gaziantep;23.817,91;19;2023-04-24;false
10034;Selin Kurt;35;K;İstanbul;-;6383.63;13;08/06/2024;H
10097;AYŞE KAYA;49;erkek;KAYSERI;Bursa;17995.91;47; ;E
10487;Derya Aydın;null;kadin;antalya;Gaziantep;15.922,99;26;03/12/2023;H
10027;GIZEM GÜL;16;E;Malatya;Adana;7.572,31;31;04/05/2023;0
10072;barış bal;21;K;Ankara;bilinmiyor;13.120,39;21;31/03/2025;hayır
10344;selin koç;22;erkek;Kayseri;Denizli;18.893,36;40;2023-11-06;0
10494;Selin Gül;21;E;İstanbul;null;5.081,55;6;14/01/2024;H
10107;Zeynep Tan;24; ;Samsun;Adana;3662.27;17;25/05/2024;true
10361;gizem taş;34;kadin;gaziantep;Konya;?;14;09/04/2024;evet
10285;ali özdemir;15;K;Ankara;Konya;12.287,45;60;31/07/2023;false
10422;Can Şahin;NaN;erkek;Samsun;yok;?;10;08.08.2023;E
10255;  Selin Aksoy ;68;;Ankara;Ankara;16.530,87;;22/03/2024;evet
10049;MEHMET AYDIN;7;erkek;KOCAELI;Trabzon;937.56;45;11/06/2024;H
10288;  Derya Aydın ;77;Erkek;Kocaeli;Konya;1782.63;11;27.02.2023;false
10202;Ahmet Gül;29;Erkek;i̇stanbul;Gaziantep;1.691,86;46;2024-10-01;1
10434;Fatma Şahin; ;Erkek;Adana;Trabzon;21.888,49;25;13/09/2023;E
10345;Fatma Kaya;67;E;İzmir;Antalya;11510.46;44;28.06.2023;H
10184;GIZEM DOĞAN;81;;DENIZLI;Trabzon;22.987,27;59;2023-06-15;1
10039;  Hakan Gül ;72;K;Konya;Ankara;18.691,32;21;2024-06-04;evet
10457;zeynep arslan;39;E;İstanbul;Konya;24.028,28;22;04/08/2024;true
10172;Deniz Yılmaz;4;erkek;DENIZLI;Eskişehir;?;9;07.05.2023;1
10177;  Can Demir ;59;kadin;KAYSERI;Ankara;5.415,20;37;N/A;1
10238;Nuray Taş;36;kadin;  Denizli ;Kayseri;6129.22;28;05/10/2024;E
10492;kemal kurt;19;kadin;İstanbul;bilinmiyor;9754.56;27;2024-04-15;evet
10262;Ayşe Bal;36;Kadın;Kocaeli;Eskişehir;21906.07;39;n/a;E
10219;Serkan Koç;66;K;Malatya;bilinmiyor;3.129,29;14;N/A;evet
10353;ECE BAL;69; ;  Konya ;Ankara;15.037,35;22;15/02/2024;evet
10342;Ayşe Ateş;53;E;ANTALYA;Ankara;6821.43;44;2025-03-22;0
10215;Kemal Öztürk;52;Erkek;Denizli;Denizli;20536.72;26;15/05/2025;evet
10066;kemal taş;74;kadin;Adana;Malatya;17707.83;38;02/01/2024;1
10479;HÜSEYIN DEMIR;38;kadin;Denizli;Adana;6.891,78;59;06.03.2025;1
10077;AHMET KURT;66;E;Kocaeli;bilinmiyor;23.415,47;28;28.10.2024;H
10282;Serkan Aydın;27;Kadın;Adana;;2166.03;27;04/08/2024;1
10266;onur arslan;6;kadin;i̇stanbul;Kocaeli;6323.18;58;2023-08-22;E
10373;Onur Ateş;71;erkek;kocaeli;Ankara;9036.27;24;31/01/2025;hayır
10429;Pınar Arslan;64;erkek;Kayseri;İstanbul;2730.33;-;25.03.2023;hayır
10052;Burak Aydın;24;Kadın;Denizli;Eskişehir;19485.05;31;02/06/2023;E
10194;Kemal Aksoy;9;E;Kocaeli;Gaziantep;13879.52;41;14.06.2024;evet
10069;Pınar Uçar;17;E;Antalya;Denizli;5.195,68;15;26.12.2024;false
10495;  Mehmet Uçar ;8;erkek;İZMIR;Samsun;11.982,28;12;26/02/2025;E
10276;Mustafa Tan;12;kadin;TRABZON;Antalya;10592.43;bilinmiyor;24/10/2024;hayır
10381;volkan çelik;63;kadin;Antalya;Malatya;11030.12;31;yok;H
10491;seda yıldız;54;kadin;ADANA;Trabzon;16404.16;32;2023-10-02;H
10075;Gizem Koç;NaN;K;Bursa;Trabzon;899,12;18;19/03/2025;1
10306;  Burak Şahin ;62;erkek;Malatya;Antalya;8.061,63;56;null;0
10181;Mustafa Bal;69;kadin;bursa;İzmir;8442.20;N/A;02.03.2025;evet
10259;derya gül;45;Erkek;Trabzon;Eskişehir;3326.61;1;28.04.2024;false
10035;Serkan Demir;11;erkek;  Samsun ;Malatya;12.090,80;33;02.09.2024;0
10089;Gizem Arslan;82;kadin;Ankara;bilinmiyor;1.582,25;32;14/04/2023;0
10250;deniz aksoy;69;K;TRABZON;Adana;12.882,37;26;2023-09-15;evet
10291;  Hakan Öztürk ;46;Kadın;  Ankara ;Kocaeli;21795.44;46;bilinmiyor;1
10416;fatma arslan;34;erkek;Bursa;NaN;24368.88;56;18/05/2024;1
10223;Ali Kurt;35;erkek;Bursa;Malatya;7873.78;20;2024-01-18;H
10108;aylin çelik;37;E;antalya;Kayseri;5290.28;8;30.04.2024;E
10319;zeynep demir;39;Erkek;Bursa;Ankara;19565.81;48;30.10.2023;0
10328;Selin Çelik;70;Kadın;  Denizli ;İstanbul;6705.52;14;07/03/2024;H
10183;deniz tan;24;erkek;İzmir;Konya;15140.26;33;20/07/2023;true
10067;Emine Şahin;N/A;kadin;denizli;Gaziantep;3.113,43;42;17/04/2024;hayır
10055;Gizem Tan;64;NaN;ANTALYA;n/a;23.712,61; ;2023-04-09;false
10244;emre özdemir;24;K;TRABZON;Kocaeli;16.142,34;2;13.05.2023;E
10393;barış kaya;59;E;i̇stanbul;İzmir;22.284,00;yok;06.01.2023;H
10114;AHMET ŞAHIN;-;;Kocaeli;Bursa;12812.77;39;20/10/2024;true
10197;AHMET AYDIN;17;K;  Gaziantep ;null;6870.99;5;21.04.2024;evet
10193;zeynep demir;71;kadin;Ankara;İzmir;17.195,14;55;19/04/2024;1
10308;Pınar Gül;5;erkek;Bursa;Bursa;3.531,60;16;2024-05-24;false
10068;Selin Taş;60;kadin;İstanbul;Adana;19819.01;1;2024-04-22;1
10018;Nuray Özdemir;35;yok;GAZIANTEP;Denizli;18191.81;59;25.02.2025;evet
10224;Zeynep Aydın;58;kadin;Antalya;Trabzon;16358.51;17;2024-08-29;hayır
10226;DERYA GÜL;49;K;malatya;İstanbul;23539.67;55;20.07.2023;E
10377;MERVE TAN;7;Kadın;eskişehir;Konya;24.683,79;41;26/10/2023;1
10149;Mehmet Arslan;66;K;Konya;Samsun;2.828,73;32; ;E
10145;Emre Taş;27;Erkek;Konya;Eskişehir;?;44;25.03.2024;false
10170;selin öztürk; ;kadin;KONYA;İstanbul;7.398,08;N/A;2023-11-15;true
10086;  Ayşe Özdemir ;NaN;kadin;  Denizli ;yok;24.161,12;5;09.11.2023;hayır
10406;HAKAN DOĞAN;78;Erkek;Kayseri;null;13.683,93;2;07/03/2025;evet
10109;MEHMET KOÇ;50;Erkek;Kayseri;Antalya;19759.53;26;18.10.2024;hayır
10098;OKAN AYDIN;-;kadin;Eskişehir;Samsun;13656.89;21;N/A;evet
10305;Merve Demir;30;erkek;Konya;Bursa;23.605,95;39;2024-04-09;true
10440;Elif Şahin;39;K;ANKARA;Eskişehir;20.915,64;47;2025-05-10;false
10105;barış taş;3;E;adana;Adana;13.678,57;34;2024-11-08;E
10176;Ali Kurt;44;;İstanbul;Kocaeli;23.314,77;18;2023-12-04;false
10287;ayşe çelik;30;K;ANTALYA;Bursa;yaklasik 1000;50;2025-04-08;H
10096;  Burak Demir ;5;Erkek;Kayseri;Adana;8.393,04;9;06.03.2025;0
10263;Emre Öztürk;82;erkek;kayseri;Adana;abc;26;20/04/2024;E
10387;fatma özdemir;-;null;samsun;Malatya;20.688,21;10;04/12/2024;E
10152;ayşe aydın;73;erkek;  İstanbul ;-;23560.08;20;07.03.2025;1
10142;FATMA KURT;12;erkek;adana;Kayseri;24.168,34;NaN;NaN;0
10469;gizem aydın;39;E;Eskişehir;n/a;yaklasik 1000;44;2024-09-14;hayır
10184;GIZEM DOĞAN;81;;DENIZLI;Trabzon;22.987,27;59;2023-06-15;1
10323;emine tan;yok;K;Eskişehir;Bursa;23.694,88;22;16/03/2025;E
10074;  Emre Öztürk ;47;Erkek;Bursa;n/a;14.720,19;13;02.07.2023;E
10273;deniz kurt;73;Erkek;  Denizli ;İstanbul;12729.07;8;2024-07-14;hayır
10453;derya tan;26;Erkek;Eskişehir;n/a;1501.23;9;03/03/2023;evet
10463;DENIZ TAN;58;kadin;Malatya;Gaziantep;15212.88;50;25.11.2024;false
10161;  Burak Şahin ;15;K;bursa;Kayseri;846,44;11;2024-10-03;true
10092;BURAK AYDIN;55;Erkek;İzmir;Samsun;19.826,89;34;2025-01-02;1
10190;Onur Kurt;36;Erkek;İstanbul;İzmir;2258.81;bilinmiyor;12.02.2025;true
10251;Mustafa Koç;76;E;İzmir;Adana;23706.82;7;2023-11-23;0
10147;Burak Şahin;14;kadin;BURSA;Trabzon;22.587,75;1;17.10.2024;0
10182;DERYA ARSLAN;22;erkek;Malatya;NaN;7.865,31;n/a;22.06.2023;1
10482;Merve Koç; ;Kadın;malatya;Antalya;15455.07;30;15.09.2023;hayır
10191;Ahmet Bal;13;E;Trabzon;Kocaeli;2749.20;24;09/12/2024;1
10103;Ahmet Koç;49;Kadın;i̇stanbul;Antalya;5.745,50;60;20/11/2024;false
10241;FATMA ÖZDEMIR;63;E;  Trabzon ;Konya;20588.27;15;11/05/2025;0
10365;Barış Uçar;59;Kadın;antalya;yok;9608.13;31;2024-07-06;1
10207;can aksoy;27;kadin;Bursa;N/A;12.235,99;33;2025-05-04;E
10311;VOLKAN AYDIN;n/a;Kadın;  Kocaeli ;Bursa;21.555,79;3;09.04.2025;false
10093;ALI ÇELIK;40;Erkek;Trabzon;İstanbul;17083.44;45;2024-01-27;hayır
10350;Barış Tan;73;Erkek;ESKIŞEHIR;Eskişehir;1.725,89;19;n/a;H
10062;merve öztürk; ;K;Trabzon;Ankara;20.676,97;52;12.05.2024;hayır
10199;Seda Öztürk;24;kadin;Denizli;Malatya;15.712,92;3;22.03.2025;false
10293;Aylin Öztürk;75;E;Adana;Antalya;9.503,34;39;2023-09-22;hayır
10188;seda uçar;54;E;Kocaeli;İstanbul;2.992,12;23;15/11/2023;true
10322;Kemal Şahin;65;null;ADANA;Gaziantep;18.455,50;60;06/11/2023;evet
10169;DERYA GÜL;16;n/a;  Trabzon ;Eskişehir;?;n/a;08/01/2025;evet
10030;Elif Kurt;74;K;Trabzon;-;16.869,22;44;21/05/2024;H
10340;Emine Demir;77;Erkek;Trabzon;İstanbul;9615.96;2;05.12.2023;false
10498;Selin Yılmaz;16;Erkek;Denizli;Trabzon;18427.57;14;18.08.2024;H
10325;MUSTAFA AKSOY;72;K;  İzmir ;bilinmiyor;4.798,58;31;03.05.2023;true
10364;zeynep tan;26;K;BURSA;İstanbul;4227.87;46;n/a;0
10002;GIZEM KAYA;15;erkek;KONYA;Antalya;24.972,78;25;-;hayır
10438;Hüseyin Çelik;39;Kadın;İSTANBUL;Antalya;21039.68;41;2024-03-08;false
10221;Can Koç;58;kadin;ADANA;Ankara;7.876,99;31;2025-06-02;1
10294;Nuray Doğan;80;E;ADANA;Denizli;435.71;8;NaN;hayır
10216;Deniz Aksoy;12;K;Trabzon;Gaziantep;20287.60;8;25.12.2023;0
10458;Gizem Şahin;20;Erkek;ESKIŞEHIR;Antalya;24.431,13;54;07.01.2025;true
10497;Burak Arslan;24;kadin;Samsun;Malatya;20507.35;32;2024-05-22;E
10274;emine demir;20;erkek;Ankara;Gaziantep;7673.77;59;N/A;E
10450;SERKAN ÖZTÜRK;24;-;Bursa;Konya;21.907,20;29;2024-12-07;hayır
10130;MUSTAFA ÇELIK;24;K;Kayseri;Gaziantep;11.993,41;47;2023-09-15;evet
10363;Deniz Koç;65;Erkek;trabzon;Malatya;6.628,21;50;11/05/2023;evet
10111;zeynep ateş;;erkek;Denizli;null;1.447,79;22;25.11.2023;H
10136;Hüseyin Gül;69;Erkek;Kocaeli;-;21133.65;yok;28/04/2023;false
10334;DERYA ŞAHIN;66;E;Kayseri;Eskişehir;94,09;44;04.01.2025;true
10071;okan koç;50;E;i̇stanbul;İzmir;23.271,07;39;2023-02-19;true
10167;HÜSEYIN DEMIR;44;E;malatya;null;16971.10;47;17.06.2025;1
10225;AYLIN UÇAR;82;erkek;  Samsun ;Samsun;2.327,88;46;2023-11-08;1
10426;ayşe bal;3;Erkek;adana;Samsun;19.396,89;38;24/02/2024;1
10275;  Elif Çelik ;39;K;Kocaeli;n/a;10052.84;39;2023-06-13;1
10122;Mustafa Ateş;49;erkek;KAYSERI;İstanbul;23.134,06;29;2024-05-22;1
10421;Mustafa Aydın;57;E;Bursa;İzmir;11.919,24;57;08/06/2025;evet
10483;Can Arslan;13;K;ESKIŞEHIR;Ankara;yaklasik 1000;40;09/02/2025;false
10435;Ali Bal;8;erkek;  Gaziantep ;Kayseri;13785.19;24;21.04.2025;1
10085;Mehmet Demir;8;erkek;  İstanbul ; ;11.119,99;49;09.06.2023;H
10407;Derya Doğan;63;Kadın;Ankara;Gaziantep;3011.09;16;16.01.2024;H
10417;Deniz Aydın;41;Kadın;SAMSUN;Kayseri;23.858,68;31;03.02.2023;hayır
10467;SERKAN BAL;65;kadin;Samsun;Konya;646,00;12;2024-08-03;0
10233;Mustafa Taş;21;Erkek;eskişehir;NaN;17149.08;23;2025-04-12;false
10472;  Ali Yılmaz ;63;kadin;adana;Adana;24.376,39;yok;20.07.2024;evet
10390;HAKAN KAYA;17;K;trabzon;Denizli;?;17;2023-04-28;H
10485;Derya Uçar;10;kadin;  Malatya ;Kocaeli;1200.40;41;25/10/2023;hayır
10160;ECE BAL;33;E;Malatya;Denizli;16181.97;3;2023-12-26;hayır
10127;BARIŞ DOĞAN;12;E;İzmir;Bursa;yaklasik 1000;3;18.05.2024;0
10428;Pınar Aksoy;52;E;Adana;Antalya;16299.11;11;NaN;H
10437;Nuray Yıldız;29;kadin;Ankara;Eskişehir;13198.35;51;2023-12-28;H
10021;ALI ATEŞ;25;erkek;  Malatya ;Antalya;13035.20;4;12/01/2023;false
10490;Hüseyin Öztürk;53;Erkek;ADANA;Samsun;11.514,61;48;02.11.2023;false
10258;  Merve Şahin ;54;Kadın;  Konya ;Malatya;5764.56;8;yok;E
10318;Nuray Arslan;34;E;Trabzon;Eskişehir;18.257,35;28;03.02.2023;H
10014;Barış Şahin; ;E;  Adana ;Malatya;16776.45;23;27/12/2023;H
10442;ayşe yıldız;55;E;antalya;Bursa;24239.91;24;20/07/2023;false
10368;Burak Çelik;65;K;Eskişehir;Gaziantep;16589.73;12;21/11/2023;E
10001;  Fatma Kurt ;68;Kadın;Gaziantep;Kocaeli;14335.59;50;08/02/2025;evet
10132;seda bal;-;kadin;İzmir;null;9118.20;2;27.12.2024;true
10388;Can Aksoy;49;erkek;  Eskişehir ;Malatya;23.651,57;7;2023-12-17;1
10003;pınar uçar;61;erkek;eskişehir;Malatya;9.120,38;26;21.07.2024;true
10174;Merve Aydın;7;Kadın;eskişehir;Bursa;22762.22;50;2023-08-07;true
10279;Serkan Bal;37;E;SAMSUN;Malatya;9.276,26;19;null;0
10316;Ayşe Kurt;76;-;trabzon;-;6.872,41;4;29.05.2023;H
10198;Mustafa Arslan;NaN;Erkek;Ankara;Bursa;21.077,87;6;2024-05-01;1
10272;  Ali Şahin ;58;E;Antalya;Antalya;24685.17;58;2024-09-15;H
10165;EMINE KOÇ;18;Erkek;bursa;Trabzon;yaklasik 1000;53;02.01.2025;true
10065;Okan Taş;31;Kadın;SAMSUN;Kayseri;8013.08;56;28/08/2023;E
10011;  Nuray Koç ;18;E;KAYSERI;Eskişehir;10.868,51;39;2024-12-28;evet
10466;DENIZ ÖZDEMIR;7;kadin;kocaeli;Denizli;939.76;29;2023-02-28;hayır
10404;AHMET ÇELIK;bilinmiyor;yok;  Gaziantep ;Kocaeli;18.017,80;23;13/03/2025;0
10025;pınar aydın;78;Erkek;antalya;Antalya;24.320,21;48;17/05/2025;true
10335;HÜSEYIN AKSOY;45;bilinmiyor;gaziantep;Ankara;16086.06;13;31/05/2023;1
10375;hakan demir;3;E;GAZIANTEP;Samsun;18390.43;46;06.03.2024;H
10330;gizem ateş;72;kadin;Kayseri;Ankara;23.963,16;46;2023-09-30;0
10372;Derya Uçar;32;Erkek;İzmir;Trabzon;21345.32;1;17/06/2023;false
10257;FATMA UÇAR;77;K;TRABZON;yok;2.415,29;30;07/07/2023;evet
10086;  Ayşe Özdemir ;NaN;kadin;  Denizli ;yok;24.161,12;5;09.11.2023;hayır
10369;HÜSEYIN DEMIR;75;Kadın;SAMSUN;Adana;9.905,57;10;28.05.2023;0
10256;  Pınar Çelik ;68;K;Ankara;İzmir;23658.08;47;2025-04-26;H
10211;Volkan Kaya;39;E;i̇zmir;Ankara;4.878,81;51;08.04.2023;hayır
10164;Okan Tan;34;E;Kayseri;Bursa;14.496,74;;23/06/2023;E
10320;mehmet gül;29;erkek;i̇stanbul;Kocaeli;4546.16;48;23/01/2024;true
10299;Hüseyin Demir;59;kadin;Gaziantep;Adana;20994.30;11;17/04/2023;true
10209;okan uçar;37;Kadın;antalya;Bursa;15650.99;n/a;12.04.2023;1
10094;Pınar Tan;74;K;  Ankara ; ;5871.51;10;02.07.2023;true
10119;pınar aydın;NaN;E;ANTALYA;Konya;5.450,85;n/a;11.06.2023;hayır
10459;GIZEM ATEŞ;40;kadin;Malatya;Malatya;17.101,65;2;-;E
10409;Serkan Gül;41;Kadın;İZMIR;Konya;15765.98;15;2025-01-10;0
10033;EMRE KOÇ;56;erkek;İZMIR;Antalya;1159.75;33;27/04/2024;0
10357;  Gizem Yıldız ;64;E;Kocaeli; ;15.911,51;1;2024-06-30;hayır
10117;Emine Ateş;34;K;Trabzon;Bursa;16161.56;37;09.04.2023;1
10045;PINAR YILMAZ;43;Kadın;  İzmir ;;18.735,82;39;20.01.2025;1
10177;  Can Demir ;59;kadin;KAYSERI;Ankara;5.415,20;37;N/A;1
10360;ALI ÖZDEMIR;51;kadin;BURSA;Trabzon;7765.04;41;2025-02-10;E
10060;  Okan Aksoy ;4;E;Gaziantep;Malatya;6137.89;23;2025-06-04;H
10264;Kemal Bal;9;Erkek;adana;İstanbul;3.937,68;48;2025-01-16;0
10083;MERVE KAYA;38;Kadın;İZMIR;Konya;22853.85;17;2023-10-04;E
10048;Serkan Özdemir;null;E;Ankara;Kayseri;abc;4;2025-03-30;0
10341;Kemal Koç;6;Erkek;Ankara;Samsun;2084.32;32;2024-09-19;hayır
10055;Gizem Tan;64;NaN;ANTALYA;n/a;23.712,61; ;2023-04-09;false
10297;Serkan Kurt;17;erkek;İzmir;;23989.60;23;23/08/2024;1
10321;Elif Taş;37;kadin;Denizli;;7.571,11;58;30/04/2023;evet
10201;  Mustafa Kaya ;8;-;Trabzon;Antalya;12.152,00;27;2024-07-16;0
10087;MEHMET YILMAZ;34;n/a;İstanbul;İstanbul;7.768,28;49;30.03.2023;0
10270;Hüseyin Gül;41;Kadın;eskişehir;Konya;14.768,42;16;11/01/2025;E
10307;  Emine Doğan ;12;K;gaziantep;null;19.307,84;9;01/02/2024;hayır
10163;MERVE KAYA;57;Erkek;ANKARA;Samsun;3094.36;46;null;0
10261;BARIŞ AKSOY;28;K;MALATYA;;17646.70;14;yok;false
10150;ayşe arslan;26;E;Trabzon;Adana;15.291,59;25;n/a;hayır
10237;VOLKAN YILMAZ;12;erkek;Konya;Samsun;18235.17;17;2023-11-07;E
10493;Aylin Kurt;50;erkek;İSTANBUL;NaN;2.366,81;14;08/12/2024;E
10137;SELIN KURT;45;Erkek;  Antalya ;Antalya;2039.98;37;04/04/2025;H
10343;can demir;n/a;kadin;Konya;Gaziantep;6.373,28;47;30/09/2024;1
10112;  Deniz Şahin ;54;K;Malatya;Denizli;17.997,60;55;27.10.2023;1
10347;gizem şahin;4;K;Trabzon;Kocaeli;18.987,58;35;06.02.2023;hayır
10227;DERYA TAŞ;81;Erkek;KOCAELI;Malatya;22.094,12;17;2024-10-29;1
10121;pınar yılmaz;yok;Kadın;Bursa;Samsun;24492.49;40;2024-03-09;1
10047;deniz doğan;7;Erkek;  Malatya ;Antalya;21597.63;23;2024-06-16;hayır
10073;mustafa yıldız;49;Kadın;i̇stanbul;NaN;5.510,35;6;2024-07-29;hayır
10041;Pınar Taş;61;erkek;Antalya;Trabzon;13.997,47;57;2025-01-26;hayır
10362;BURAK ÇELIK;28;erkek;Kayseri;Gaziantep;21.836,72;;-;hayır
10414;ELIF ŞAHIN;34;kadin;antalya;Eskişehir;6.363,97;40;22/07/2024;true
10248;Nuray Yıldız;8;Erkek;Konya;İstanbul;24.623,93;n/a;17.01.2023;false
10420;Gizem Çelik;yok;erkek;antalya; ;20.554,41;55;03/09/2024;1
10430;Pınar Doğan;52;E;  Trabzon ;-;1.017,24;3;14.03.2024;false
10327;SERKAN DOĞAN;77;Kadın;ANTALYA;Kayseri;3.867,01;26; ;H
10079;Burak Şahin;48;K;ADANA;Bursa;5373.82;1;27/01/2025;E
10101;  Deniz Uçar ;;K;i̇zmir;Adana;8159.35;17;02.04.2024;hayır
10411;FATMA BAL;4;E;Adana;Adana;2514.41;51;05/08/2023;false
10351;zeynep koç;21;K;kocaeli;Gaziantep;11216.48;48;08.03.2024;H
10138;Aylin Gül;79;kadin;İstanbul;Bursa;2.325,74;36;12/01/2023;0
10178;  Aylin Demir ;15;kadin;Kocaeli;Malatya;18558.82;16;2025-06-01;0
10051;  Deniz Demir ;32;E;İSTANBUL;Adana;11056.27;11;2024-07-26;0
10461;ELIF TAN;yok;kadin;bursa;Eskişehir;20361.80;11;2024-07-07;false
10006;seda aksoy;40;bilinmiyor;  Kayseri ;Trabzon;5035.95;30;26.04.2025;evet
10100;Seda Doğan;54;Kadın;Konya;null;4660.18;45;18/06/2024;H
10141;  Can Arslan ;31;kadin;ANTALYA;İstanbul;17.317,57;26;03/12/2024;0
10346;okan ateş;14;erkek;eskişehir;Bursa;21134.38;45;2025-03-04;1
10235;kemal doğan;19;K;  Adana ;İzmir;17.144,61;N/A;2024-03-29;1
10446;mehmet ateş;77;erkek;konya;İstanbul;4200.70; ;09.10.2023;0
10436;CAN KAYA;41;erkek;ADANA;İzmir;21758.89;11;2023-08-18;hayır
10104;ONUR ŞAHIN;79;K;Malatya;Kayseri;21.946,08;2;2024-07-06;E
10024;Ali Şahin;5;erkek;ESKIŞEHIR;Adana;24.080,43;42;yok;0
10081;Hüseyin Kurt;33;erkek;  Konya ;n/a;4.706,40;15;19.08.2023;false
10379;Serkan Kurt;36;kadin;Adana;Ankara;17863.61;43;2024-05-22;true
10208;Ali Arslan;39;Kadın;SAMSUN;Antalya;19.101,20;15;2025-02-13;evet
10384;EMINE GÜL;17;kadin;Bursa;Malatya;20343.09;52;2023-09-06;E
10232;emre uçar;4;K;antalya;-;14377.05;13;2024-05-18;hayır
