SiparisNo;MusteriAdi;Sehir;SiparisTarihi;Tutar;KargoFirmasi;KargoUcreti;Durum;UrunAdedi;OdemeTipi
SIP2026183;Pınar Kurt;Antalya;22/06/2025;8275.89;MNG;16.40;Teslim Edildi;20;bilinmiyor
SIP2026434;Hakan Uçar;ADANA;31.05.2027;2.139,39;Sürat;yaklasik 1000;İade;19;
SIP2026066;AYLIN BAL;Adana;28.03.2027;10331.17;N/A;188,56;hazirlaniyor;1;Kredi Kartı
SIP2026164;BURAK YILDIZ;gaziantep;2025-04-03;1.658,24;PTT;yaklasik 1000;İade;18;Kapıda Kart
SIP2026199;zeynep öztürk;ADANA;2026-10-15;13323.79;UPS;65.27;hazirlaniyor;15;Havale
SIP2026445;Ali Özdemir;Bursa;12.03.2025;5589.63;-;137.55;İade;8;Kredi Kartı
SIP2026099;Barış Kaya;  Bursa ;04/08/2025;2121.11;MNG;43.81;Hazırlanıyor;8; 
SIP2026491;Zeynep Tan;ankara;02/09/2025;4325.62;Aras;133.14;İptal;25;Kapıda Nakit
SIP2026131;emine yılmaz;adana;15/04/2025;8.686,03;PTT;168.87;hazirlaniyor;19;Kapıda Nakit
SIP2026398;  Nuray Aydın ;Kocaeli;2025-11-06;368,46;PTT;165.58;İade;9;Kredi Kartı
SIP2026442;Kemal Çelik;gaziantep;30.03.2027;12.925,67;Aras;abc;Hazırlanıyor;23;Kapıda Kart
SIP2026341;fatma aydın;ANTALYA;10/03/2026;4.202,64;UPS;190.16;İptal;15;Kapıda Kart
SIP2026091;Fatma Aydın;MALATYA;2027-05-05;8.431,90;Sürat;184,45;Hazırlanıyor;18;Havale
SIP2026223;GIZEM ÖZTÜRK;adana;18/05/2027;13025.17;Aras;234.52;hazirlaniyor;20;Havale
SIP2026285;HAKAN ÖZTÜRK;Antalya;28/03/2025;5525.19;Aras;140.29;İptal; ;-
SIP2026380;Gizem Bal;Malatya;09.07.2025;11890.34;PTT;59.00;hazirlaniyor;4;Kredi Kartı
SIP2026406;MEHMET BAL;MALATYA;N/A;461.05;UPS;150.61;İade;11;Kapıda Nakit
SIP2026297;ELIF ÖZTÜRK;Denizli;2026-11-20;1.423,54;n/a;49,75;Hazırlanıyor;;Havale
SIP2026372;ALI AKSOY;i̇zmir;08/11/2025;13.741,97;Yurtiçi;186.75;hazirlaniyor;5;Kapıda Nakit
SIP2026232;kemal ateş;ANKARA;07/06/2027;11115.87;UPS;175.04;KARGODA;13;Kapıda Kart
SIP2026480;Merve Bal;  Konya ;18.01.2026;13.291,65;Sürat;198,67;Kargoda;13;Kredi Kartı
SIP2026496;Hüseyin Kurt;İzmir;2026-02-13;1204.21;Aras;32.40;Hazırlanıyor;7;Havale
SIP2026239;SEDA YILDIZ;denizli;2025-01-02;3026.62;Sürat;202.93;Teslim Edildi;3;Kapıda Kart
SIP2026207;Mustafa Gül;Samsun;23.09.2026;7.300,64;NaN;32.27;hazirlaniyor;25;Kapıda Kart
SIP2026002;GIZEM ŞAHIN;  Adana ;25/01/2025;3.894,07;Aras;38,46;KARGODA;9;Kapıda Nakit
SIP2026227;Ali Yılmaz;Eskişehir;13.04.2026;1306.35;Sürat;233,68;İptal;2;Kredi Kartı
SIP2026140;Derya Kaya;Trabzon;07.10.2026;420,67;Aras;209.67;Hazırlanıyor;25;Kapıda Kart
SIP2026384;AYŞE KURT;adana;-;10611.95;Sürat;166,76;İade;22;Kapıda Kart
SIP2026249;CAN ATEŞ;Malatya;26/09/2025;2832.09;MNG;133,92;Hazırlanıyor;7;Havale
SIP2026023;Serkan Aydın;Kayseri;27.11.2026;690,00;MNG;236.99;Teslim Edildi;7;Kapıda Nakit
SIP2026329;AHMET TAŞ;kayseri;27.05.2025;6.465,73;Aras;24.27;KARGODA;24;Kredi Kartı
SIP2026244;Aylin Bal;İstanbul;04/02/2027;9.073,71;PTT;48.41;Teslim Edildi;4;Kredi Kartı
SIP2026354;Serkan Çelik;trabzon;2026-10-17;9.100,01; ;84.64;Teslim Edildi;7;Kapıda Kart
SIP2026050;Onur Yılmaz;TRABZON;null;2946.98;PTT;72.69;Teslim Edildi;22;Kapıda Nakit
SIP2026303;Ece Aydın;ankara;22/11/2025;10.204,78;Aras;?;hazirlaniyor;yok;N/A
SIP2026161;Ali Aksoy;Konya;2026-10-03;2044.35;MNG;213.73;Teslim Edildi;3;Havale
SIP2026111;  Derya Koç ;İZMIR;02.04.2027;7.280,34;Aras;234,70;İptal;19;Kapıda Kart
SIP2026335;Emre Aydın;ANTALYA;29/07/2026;1.585,20;PTT;213,09;KARGODA;18;Havale
SIP2026264;  Hakan Yıldız ;antalya;15.08.2025;14.075,69;PTT;40.83;KARGODA;15;Kredi Kartı
SIP2026400;nuray koç;  Bursa ;2026-07-18;13474.33;MNG;abc;İptal;8;Havale
SIP2026044;mehmet doğan;samsun;18/05/2025;yaklasik 1000;yok;244.25;Teslim Edildi;20;Havale
SIP2026063;Selin Gül;Kocaeli;2027-01-09;5.246,59;Sürat;1.60;KARGODA;14;Kapıda Kart
SIP2026359;Can Arslan;Kayseri;2025-02-22;3.852,14;Yurtiçi;157.78;Hazırlanıyor;8;Havale
SIP2026001;Can Ateş;Malatya;2025-09-02;6.441,50;n/a;174.35;KARGODA;3;Kapıda Nakit
SIP2026257;ECE KOÇ;gaziantep;20/01/2027;11745.44;MNG;177.99;Teslim Edildi;15;-
SIP2026128;Selin Öztürk;Trabzon;20/05/2026;4162.37;UPS;92.68;Teslim Edildi;;Kapıda Nakit
SIP2026473;ZEYNEP ŞAHIN;ANTALYA;21.08.2026;11584.82;PTT;27,66;hazirlaniyor;12;Kapıda Nakit
SIP2026054;Mustafa Doğan;MALATYA;2026-02-26;12528.72;PTT;122,19;İade;21;Havale
SIP2026103;seda demir;TRABZON;2027-05-07;4.244,47;PTT;102,36;İptal;23;Kapıda Nakit
SIP2026098;Serkan Yıldız;Denizli;03/03/2025;11.670,87;Yurtiçi;19,99;Kargoda;3;Kapıda Nakit
SIP2026355;MERVE GÜL;Antalya;08/05/2025;5014.47;UPS;166,52;Kargoda;18;Kapıda Nakit
SIP2026221;Serkan Kaya;KAYSERI;-;1.273,84;Yurtiçi;105,80;Teslim Edildi;9;Kapıda Nakit
SIP2026215;Ali Aydın;Kayseri;09.10.2025;1.373,92;Aras;?;Kargoda;;Kapıda Kart
SIP2026150;  Emine Gül ;ESKIŞEHIR;2026-09-12;13.674,85;PTT;74.21;İptal;;Kapıda Kart
SIP2026275;  Fatma Kaya ;  Trabzon ;NaN;14245.72;MNG;59,37;KARGODA;NaN;Kredi Kartı
SIP2026345;KEMAL ÖZDEMIR;malatya;10/06/2025;13177.85;PTT;57,61;İptal;13; 
SIP2026343;DERYA YILMAZ;KOCAELI;17/09/2025;8.848,17;Sürat;yaklasik 1000;Hazırlanıyor;9;Kredi Kartı
SIP2026107;pınar ateş;Trabzon;2026-07-05;3.242,71;UPS;212.33;Kargoda;13;Kredi Kartı
SIP2026498;BARIŞ DEMIR;İSTANBUL;13/12/2026;5.328,95;Yurtiçi;yaklasik 1000;Teslim Edildi;3;Kredi Kartı
SIP2026071;MUSTAFA BAL;  Kocaeli ;08/03/2027;3.277,13;Sürat;99,97;İade;7;Kapıda Kart
SIP2026172;Hakan Yılmaz;  Kayseri ;04.01.2027;11.396,79;PTT;3,62;hazirlaniyor;5;Kredi Kartı
SIP2026474;EMRE DOĞAN;i̇zmir;2025-06-08;12611.14;PTT;153,85;İade;23;Kredi Kartı
SIP2026261;Deniz Bal;Samsun;NaN;13.953,52;Aras;168.69;Teslim Edildi;24;Kredi Kartı
SIP2026228;merve arslan;ankara;2027-01-14;10.155,00;bilinmiyor;4.70;Teslim Edildi;23;Havale
SIP2026362;Burak Şahin;  Ankara ;2025-04-22;9.712,60;Yurtiçi;116.02;Teslim Edildi;17;NaN
SIP2026401;burak özdemir;  Gaziantep ;21.10.2026;9123.30;MNG;191.19;Kargoda;10;Kapıda Kart
SIP2026213;Barış Şahin;Konya;07/01/2027;3145.85;MNG;82.87;İptal;18;Havale
SIP2026472;Selin Ateş;  Konya ;2026-04-02;5.085,23;PTT;167,84;hazirlaniyor;20;Kredi Kartı
SIP2026206;Kemal Uçar;SAMSUN;2027-01-30;7262.19;MNG;134,67;hazirlaniyor;11;Kapıda Nakit
SIP2026435;kemal ateş;GAZIANTEP;30.01.2025;11.260,92;N/A;47.83;Kargoda;16;Kredi Kartı
SIP2026417;hüseyin uçar;İstanbul;26/07/2025;12321.20;-;74,23;İptal;18;Kredi Kartı
SIP2026226;Kemal Yıldız;  Antalya ;06.07.2026;12395.40;Aras;116,25;Kargoda;24;N/A
SIP2026493;Ali Doğan;Ankara;2025-06-14;4.781,49;Aras;17,60;Teslim Edildi;2;Kapıda Nakit
SIP2026137;Fatma Öztürk;DENIZLI;2027-05-12;2615.26;MNG;30,05;Kargoda;3;Kapıda Nakit
SIP2026048;ECE TAŞ;Malatya;05/06/2027;7209.73;Sürat;70,95;hazirlaniyor; ;Kapıda Kart
SIP2026142;  Fatma Gül ;  Eskişehir ;2027-01-03;12.663,28;UPS;248.62;İptal;11;Kredi Kartı
SIP2026057;Fatma Çelik;Samsun;15/10/2026;14846.90;PTT;98,41;Teslim Edildi;15;Havale
SIP2026055;DERYA GÜL;Ankara;;14465.73;PTT;yaklasik 1000;KARGODA;10;Havale
SIP2026006;  Volkan Koç ;SAMSUN;20.01.2027;abc;Yurtiçi;183.18;Hazırlanıyor;18;Havale
SIP2026160;Nuray Aksoy;Bursa;21/08/2026;4.005,10;MNG;233.60;Kargoda;14;Kapıda Kart
SIP2026468;ECE UÇAR;Konya;2026-09-24;3.224,96;Yurtiçi;158,84;İade;8;Kapıda Kart
SIP2026154;Selin Doğan;i̇stanbul;10.02.2026;8.846,48;-;1,24;İade;23;Kapıda Kart
SIP2026170;Barış Kurt;Denizli;2025-04-03;12131.99;Yurtiçi;139.66;Hazırlanıyor;25;Kapıda Kart
SIP2026151;Elif Arslan;ankara;27.06.2025;1.809,25;Aras;8,74;hazirlaniyor;14;Kapıda Nakit
SIP2026287;okan kurt;İzmir;09/10/2025;12212.63;PTT;160,80;İptal;22;Kapıda Nakit
SIP2026392;Ayşe Çelik;Kayseri;17.03.2025;13.962,76;MNG;66.11;Kargoda;20;Kapıda Kart
SIP2026353;Onur Kurt;Gaziantep;04.01.2026;10754.47;MNG;64,79;İptal;7;Havale
SIP2026105;mehmet arslan;Samsun;01/10/2025;8407.75;Sürat;139,25;Hazırlanıyor;14;Kapıda Nakit
SIP2026238;merve ateş;Samsun;12/11/2026;3.780,12;PTT;203.15;KARGODA;7;Havale
SIP2026374;AYLIN TAN;Kocaeli;31/01/2025;13.378,83;Aras;102,76;hazirlaniyor;22;Kapıda Nakit
SIP2026191;FATMA KURT;  Eskişehir ;20/07/2026;85.81;Aras;197,99;hazirlaniyor;11;Havale
SIP2026391;Ali Kaya;adana;N/A;?;PTT;69.46;İptal;13;Kredi Kartı
SIP2026255;AYLIN YILMAZ;Ankara;2026-12-29;13.565,74;MNG;2,58;İptal;14;Kapıda Nakit
SIP2026350;nuray arslan;ADANA;2027-01-13;5.483,55;PTT;137.24;İptal;5;Kredi Kartı
SIP2026465;GIZEM ÖZTÜRK;kocaeli;31/01/2025;5.016,76;MNG;89.11;Kargoda;8;Kapıda Nakit
SIP2026087;FATMA BAL;Antalya;2026-01-15;11484.95;PTT;217.02;Teslim Edildi;5;Kapıda Nakit
SIP2026333;Ahmet Özdemir;Kayseri;2026-07-22;1.334,18;MNG;205.54;hazirlaniyor;10;Kapıda Nakit
SIP2026292;Hakan Koç;gaziantep;22.10.2026;14907.25;yok;184,31;İptal;4;Kapıda Kart
SIP2026086;Okan Öztürk;konya;2025-07-20;11065.49;UPS;141,27;İptal;14;Kredi Kartı
SIP2026211;Burak Doğan;Kayseri;08.09.2025;3414.76;PTT;104,65;KARGODA;13;Havale
SIP2026130;  Hakan Özdemir ;İstanbul;28/10/2025;6.698,52;PTT;188,17;Kargoda;22;Kredi Kartı
SIP2026236;gizem öztürk;Malatya;08/11/2026;6.793,35;MNG;189.03;İptal;21;Havale
SIP2026486;  Ali Aydın ;eskişehir;20/06/2026;14.691,33; ;yaklasik 1000;hazirlaniyor;n/a;Kapıda Kart
SIP2026288;  Can Arslan ;eskişehir;05/09/2026;8.370,93;Aras;0,91;İptal;14;Havale
SIP2026280;BURAK ÖZTÜRK;KOCAELI;13.09.2025;4137.52;PTT;56.88;Kargoda;6;Havale
SIP2026189;fatma bal;Ankara;08/06/2027;14.988,92;Aras;238.83;hazirlaniyor;6;Kapıda Kart
SIP2026378;NURAY KAYA;Antalya;n/a;8439.59;PTT;221,89;KARGODA;16;Kapıda Nakit
SIP2026464;Hüseyin Aksoy;Malatya;2026-01-03;13.791,16;MNG;238,73;İade;7;bilinmiyor
SIP2026245;onur tan;ADANA; ;13.479,52;UPS;161.52;İptal;6;Kapıda Kart
SIP2026058;Gizem Şahin;İzmir;05.04.2026;3442.03;MNG;233,93;KARGODA;21;Kredi Kartı
SIP2026234;Kemal Doğan;Samsun;2027-02-12;9.828,63;Aras;172.01;KARGODA;N/A;Kapıda Kart
SIP2026454;Ayşe Aydın;  Trabzon ;15/05/2026;5136.47;UPS;191.38;İptal;21;NaN
SIP2026116;Mustafa Uçar;İzmir;03.07.2025;358.61;PTT;152.83;hazirlaniyor;2;Kapıda Nakit
SIP2026145;Seda Arslan;malatya;2025-08-12;5715.49;MNG;111,43;İade;14;Kapıda Kart
SIP2026092;Ali Gül;KONYA;2027-03-25;2.049,79;Yurtiçi;20,93;İptal;5;Kredi Kartı
SIP2026281;  Okan Kurt ;ANKARA;08/11/2025;9.779,01;Yurtiçi;158,97;hazirlaniyor;6;Kapıda Kart
SIP2026065;Onur Şahin;DENIZLI;2025-07-05;11.533,45;Sürat;24.53;hazirlaniyor;7;Kredi Kartı
SIP2026494;  Ali Koç ;konya;16.10.2026;14711.85;MNG;27.60;KARGODA;4;Havale
SIP2026119;Hüseyin Tan;İSTANBUL;2026-09-05;13361.73;UPS;102.92;İade;N/A;Kapıda Nakit
SIP2026143;Pınar Aydın;ESKIŞEHIR;2026-05-02;5.896,68;PTT;109,00;KARGODA;18;Kapıda Nakit
SIP2026120;PINAR BAL;trabzon;13/03/2027;1940.64;Sürat;228.96;Teslim Edildi;24;Havale
SIP2026412;aylin arslan;Denizli;31.07.2025;5772.51;MNG;161.16;KARGODA;21;Kredi Kartı
SIP2026415;okan aydın;Trabzon;13.04.2026;?;MNG;101,62;İade;6;Havale
SIP2026179;ELIF DOĞAN;  İstanbul ;2026-05-31;yaklasik 1000;Aras;125.04;Teslim Edildi;12;Kapıda Nakit
SIP2026258;Mehmet Doğan;Samsun;2026-03-26;abc;MNG;152.75;İptal;15;Kapıda Nakit
SIP2026420;kemal aksoy;Denizli;15.02.2027;1.454,45;PTT;83,54;İade;18;Havale
SIP2026222;Emine Kaya;DENIZLI;26.06.2026;13.887,06;PTT;130.90;İptal;16;Kapıda Nakit
SIP2026326;Ahmet Arslan;Gaziantep;2027-02-19;263.44;UPS;145,51;Hazırlanıyor;1;Kapıda Kart
SIP2026014;Burak Koç;ESKIŞEHIR;21.11.2025;9.772,83;Sürat;208.80;İade;6;Kapıda Kart
SIP2026159;ahmet tan;Adana;2025-12-28;abc;Yurtiçi;148.00;Teslim Edildi;17;Kapıda Nakit
SIP2026085;Volkan Yılmaz;Denizli;20.04.2025;10655.08;PTT;210,86;KARGODA;12;Havale
SIP2026386;Merve Doğan;bursa;2026-08-01;12853.19;Yurtiçi;61.59;KARGODA;17;Kapıda Nakit
SIP2026148;Hüseyin Gül;  Antalya ;07.10.2025;8.180,66;Yurtiçi;72,39;İptal;14;Kapıda Kart
SIP2026411;Seda Çelik;Kayseri;29/05/2026;5.342,86;UPS;33.51;Teslim Edildi;17;Kredi Kartı
SIP2026247;Ahmet Arslan;Ankara;2025-06-17;3.166,40;UPS;164.19;İade;null;Kredi Kartı
SIP2026298;  Ahmet Arslan ;Ankara;2026-02-18;7.334,79;UPS;188,54;Hazırlanıyor;6;Kapıda Kart
SIP2026272;  Can Çelik ;i̇zmir;01.03.2025;4.246,49;PTT;37,22;İade;22;Kapıda Nakit
SIP2026479;Derya Yıldız;Konya;2025-01-12;7.272,64;Yurtiçi;135.20;Teslim Edildi;2;Kredi Kartı
SIP2026377;Selin Doğan;SAMSUN;27.02.2025;8632.43;Yurtiçi;122.11;hazirlaniyor;10;Kapıda Nakit
SIP2026253;ali çelik;Gaziantep;25/09/2025;yaklasik 1000;Yurtiçi;33,35;İade;25;Kapıda Kart
SIP2026009;  Ali Aydın ;samsun;bilinmiyor;1177.78;Aras;224,22;İptal;6;Kapıda Kart
SIP2026183;Pınar Kurt;Antalya;22/06/2025;8275.89;MNG;16.40;Teslim Edildi;20;bilinmiyor
SIP2026304;FATMA ŞAHIN;KAYSERI;07.08.2026;7.043,82;Aras;72,55;Teslim Edildi;null;Kredi Kartı
SIP2026209;Onur Aydın;  İzmir ;2025-03-19;8942.64;UPS;17,79;KARGODA;9;Kapıda Nakit
SIP2026478;DENIZ KOÇ;Bursa;28.12.2025;2171.95;Sürat;154.76;Hazırlanıyor;10;Kapıda Kart
SIP2026208;  Merve Özdemir ;Kocaeli;01/01/2025;1.789,69;MNG;70.89;Kargoda;5; 
SIP2026074;Hüseyin Ateş;ankara;27/07/2026;9.804,43;PTT;28.16;İade;22;Kapıda Nakit
SIP2026266;MERVE KURT;İSTANBUL;2027-02-23;13.017,90;Sürat;67.58;Teslim Edildi;2;Kredi Kartı
SIP2026419;selin yılmaz;antalya;04.12.2026;2285.13;Aras;102,75;İade;1;Kredi Kartı
SIP2026324;HÜSEYIN GÜL;Konya;26/10/2026;146,40;Yurtiçi;62.89;KARGODA;10;Havale
SIP2026278;Zeynep Aydın;Ankara;2025-09-10;12747.47;PTT;58,91;Kargoda;17;Kapıda Nakit
SIP2026156;kemal şahin;adana;2025-06-17;557,73;MNG;120,18;İade;4;Kredi Kartı
SIP2026216;Emre Taş;Kocaeli;;abc;MNG;63,70;Teslim Edildi;9;Havale
SIP2026132;onur ateş;  Trabzon ;17.10.2026;11771.80;MNG;246,00;Kargoda;2;Havale
SIP2026363;deniz doğan;Denizli;05.01.2027;1448.43;n/a;38,19;KARGODA;15;
SIP2026319;Selin Bal;İZMIR;2025-12-04;9068.59;UPS;203,32;Teslim Edildi;8;Kapıda Kart
SIP2026316;hüseyin koç;SAMSUN;28/07/2026;13143.41;MNG;yaklasik 1000;İade;8;Kapıda Kart
SIP2026138;okan öztürk;SAMSUN;2025-12-06;2.803,20;Sürat;81,52;İade;12;Havale
SIP2026348;  Kemal Demir ;İzmir;19/09/2026;12086.10;Yurtiçi;37,85;Kargoda;13;Kapıda Kart
SIP2026022;Selin Aksoy;Kocaeli;07/03/2026;3.727,31;MNG;122,18;Kargoda;17;Kapıda Nakit
SIP2026138;okan öztürk;SAMSUN;2025-12-06;2.803,20;Sürat;81,52;İade;12;Havale
SIP2026452;MEHMET ŞAHIN;antalya;17/02/2027;10.471,99;Sürat;240.61;hazirlaniyor;22;Kredi Kartı
SIP2026042;AYŞE KURT;SAMSUN;2025-03-09;14435.64;MNG;174.54;Kargoda;12;Kredi Kartı
SIP2026129;GIZEM TAN;  Kayseri ;01.02.2027;4358.49;PTT;50.41;Hazırlanıyor;11;Kapıda Nakit
SIP2026041;Zeynep Tan;DENIZLI;10.11.2026;2366.69;null;139.43;İade;25;Havale
SIP2026016;Ece Demir;KONYA;30/08/2026;6.470,75;PTT;67,02;Hazırlanıyor;2;Kapıda Nakit
SIP2026197;BARIŞ ÖZDEMIR;TRABZON;2027-02-23;9706.19;Aras;?;İade;24;Kapıda Kart
SIP2026193;Zeynep Yıldız;İstanbul;27/08/2025;12.513,41;Yurtiçi;175,10;Hazırlanıyor;18;Kredi Kartı
SIP2026007;  Fatma Kaya ;İZMIR;21/07/2026;9633.49;MNG;161.12;İptal;12;NaN
SIP2026154;Selin Doğan;i̇stanbul;10.02.2026;8.846,48;-;1,24;İade;23;Kapıda Kart
SIP2026123;ali doğan;İSTANBUL;06.03.2025;5062.99;Aras;1,09;Teslim Edildi;7;Kapıda Nakit
SIP2026336;Pınar Özdemir;Malatya;04/03/2026;1812.22;Sürat;82,72;KARGODA;15;Kredi Kartı
SIP2026485;Kemal Aksoy;ANKARA;2026-05-02;6968.16;Aras;68,62;İade;5;Kapıda Kart
SIP2026146;  Burak Çelik ;ANKARA;10.05.2026;13843.33;yok;245,29;İptal;21;Kredi Kartı
SIP2026318;Kemal Demir;ankara;30.08.2026;10.620,48;Yurtiçi;7,58;İptal; ;Kredi Kartı
SIP2026422;  Serkan Taş ;  Denizli ;2027-06-07;11.846,58;PTT;29,49;İade;25;Kapıda Nakit
SIP2026448;NURAY KOÇ;DENIZLI;29.05.2025;2.882,52;PTT;99.20;İptal;8;Kredi Kartı
SIP2026379;Okan Aksoy;  Samsun ;01/12/2026;13338.82;Sürat;96,33;hazirlaniyor;5;Havale
SIP2026488;VOLKAN ATEŞ;DENIZLI;15/02/2027;13147.69;UPS;244,98;İade;bilinmiyor;Kapıda Nakit
SIP2026147;DERYA YILMAZ;GAZIANTEP;2027-04-25;9.543,66;Sürat;177.97;Kargoda;6;Kapıda Nakit
SIP2026252;Elif Ateş;Samsun;19.05.2026;13368.80;Aras;95,67;Hazırlanıyor;12;Kapıda Nakit
SIP2026037;Ahmet Aydın;ESKIŞEHIR;22/04/2026;5.192,09;MNG;yaklasik 1000;Teslim Edildi;15;Kapıda Nakit
SIP2026018;Gizem Doğan;  Kocaeli ;18.12.2025;437.09;UPS;170,64;Teslim Edildi;4;Kapıda Kart
SIP2026410;derya kurt;Malatya;18.07.2025;14.988,19;Sürat;136,17;Kargoda;9;Havale
SIP2026095;Merve Gül;Konya;01.02.2025;7.260,03;;41.77;hazirlaniyor;21;Kapıda Nakit
SIP2026334;HÜSEYIN AYDIN;Kayseri;24.03.2027;10.190,32;MNG;118,58;İptal;2;Kredi Kartı
SIP2026109;Derya Tan;gaziantep;07.01.2025;7187.08;n/a;52,96;Hazırlanıyor;6;yok
SIP2026437;Selin Arslan;Ankara;2027-02-27;12244.70;UPS;132,02;Kargoda;1;Kredi Kartı
SIP2026270;okan arslan;eskişehir;2025-12-06;6.084,35;Yurtiçi;203,10;Hazırlanıyor;5;Kapıda Nakit
SIP2026218;serkan arslan;  Samsun ;yok;9775.01;Sürat;74.91;İade;21;Havale
SIP2026367;Serkan Ateş;Kocaeli;2026-06-16;6.828,87;Sürat;89,54;Teslim Edildi;14;Kredi Kartı
SIP2026307;Hüseyin Aydın;Denizli;2026-09-07;11.014,42;UPS;83.65;KARGODA;15;Havale
SIP2026008;emine bal;KONYA;2025-02-26;1045.28;MNG;?;Hazırlanıyor;14;Kapıda Kart
SIP2026237;Deniz Özdemir;Ankara;24.02.2025;9158.55;MNG;70.65;Teslim Edildi;11;NaN
SIP2026309;EMRE KURT;adana;11/02/2025;yaklasik 1000;Aras;36,38;hazirlaniyor;11;Havale
SIP2026030;Gizem Arslan;İZMIR;24/03/2025;7.351,57;N/A;45.46;Teslim Edildi;23;Kredi Kartı
SIP2026089;MERVE DOĞAN;  Konya ;2026-02-12;11.631,35;PTT;26.79;Teslim Edildi;-;Kapıda Kart
SIP2026012;burak demir;kocaeli;2025-11-12;13.390,37;PTT;62,40;İptal;n/a;Kapıda Nakit
SIP2026267;ONUR ÇELIK;ADANA;2026-12-08;8955.10;n/a;116.68;Kargoda;25;Kapıda Kart
SIP2026440;HÜSEYIN BAL;Gaziantep;2026-10-02;2525.28;PTT;136,27;Hazırlanıyor;24;Kapıda Nakit
SIP2026366;Hüseyin Özdemir;i̇stanbul;27/10/2026;12109.29;Yurtiçi;125,34;Kargoda;1;Kredi Kartı
SIP2026414;OKAN UÇAR;ADANA;2027-02-03;859,42;n/a;abc;Teslim Edildi;17;Kapıda Nakit
SIP2026097;Ayşe Gül;Kayseri;2027-05-16;10908.50;MNG;159.51;hazirlaniyor;3;Kapıda Nakit
SIP2026332;FATMA ŞAHIN;İzmir;19/01/2025;13.343,96;MNG;95,14;KARGODA;5;null
